ID,AttributeID,Name,Target,MP,Power,Count,Effect,MaxLV,LVUP,InheritancePoint
1,1,スラッシュ,敵単体,4,120,0,,6,与えるダメージアップ,1
2,1,絶命剣,敵単体,5,140,0,,6,与えるダメージアップ,6
3,1,怪力乱神,敵単体,6,160,0,,6,与えるダメージアップ,9
4,1,メガトンレイド,敵単体,7,180,0,,5,与えるダメージアップ,12
5,1,ゴッドハンド,敵単体,8,200,0,,5,与えるダメージアップ,15
6,1,突撃,敵単体,4,115,0,クリティカル率30%,6,命中率アップ,2
7,1,鬼神楽,敵単体,5,130,0,クリティカル率30%,6,命中率アップ,5
8,1,モータルジハード,敵単体,6,145,0,クリティカル率30%,6,命中率アップ,7
9,1,なぎ払い,敵全体,4,80,0,,6,与えるダメージアップ,2
10,1,金剛発破,敵全体,5,100,0,,6,与えるダメージアップ,4
11,1,冥界破,敵全体,6,120,0,,6,与えるダメージアップ,6
12,1,空間殺法,敵全体,7,140,0,,5,与えるダメージアップ,8
13,1,ギガントマキア,敵全体,8,160,0,,5,与えるダメージアップ,10
14,1,ヒートウェイブ,敵全体,5,70,0,クリティカル率30%,6,命中率アップ,2
15,1,メガトンプレス,敵全体,6,90,0,クリティカル率30%,6,命中率アップ,4
16,1,ティタノマキア,敵全体,7,110,0,クリティカル率30%,6,命中率アップ,6
17,1,暴れまくり,敵ランダム,3,45,0,2-3回,5,与えるダメージアップ,3
18,1,デスバウンド,敵ランダム,4,55,0,2-3回,5,与えるダメージアップ,4
19,1,狂乱の剛爪,敵ランダム,5,65,0,2-3回,5,与えるダメージアップ,7
20,1,虚空爪激,敵ランダム,6,75,0,2-3回,5,与えるダメージアップ,9
21,1,五月雨斬り,敵ランダム,5,50,0,2-5回,4,与えるダメージアップ,7
22,1,刹那五月雨撃ち,敵ランダム,7,65,0,2-5回,4,与えるダメージアップ,9
23,1,丸かじり,敵単体,5,120,0,ダメージの25%分自身のHPを回復,6,与えるダメージアップ,6
24,1,暴飲暴食,敵単体,6,140,0,ダメージの40%分自身のHPを回復,6,与えるダメージアップ,8
25,1,捨て身の一撃,敵単体,7,170,0,自身のHPを10%消費,7,与えるダメージアップ,6
26,1,毒針,敵単体,5,120,0,毒付与40%,6,状態異常付与率アップ,6
27,1,バインドクロー,敵単体,5,120,0,緊縛付与40%,6,状態異常付与率アップ,6
28,1,暗夜剣,敵単体,5,120,0,魔封付与40%,6,状態異常付与率アップ,6
29,1,甘噛み,敵単体,5,120,0,魅了付与40%,6,状態異常付与率アップ,6
30,1,痺れ噛みつき,敵単体,5,160,0,緊縛付与35%,1,-,0
31,1,グングニル,敵全体,7,145,3,クリティカル率30%,1,-,0
32,1,ゲイボルグ,敵ランダム,7,50,0,4-6回攻撃,1,-,0
33,1,地獄突き,敵ランダム,7,50,0,4回攻撃,1,-,0
34,1,八艘飛び,敵ランダム,7,35,0,8回攻撃,1,-,0
35,1,地獄の獰爪,敵ランダム,5,65,0,3回、クリティカル率30%,1,-,0
201,2,アギ,敵単体,4,120,0,,6,与えるダメージアップ,1
202,2,アギラオ,敵単体,5,140,0,,6,与えるダメージアップ,6
203,2,アギダイン,敵単体,6,160,0,,6,与えるダメージアップ,9
204,2,トリスアギオン,敵単体,7,180,0,,6,与えるダメージアップ,12
205,2,ラグナロク,敵単体,7,215,0,,1,-,継承不可
206,2,マハラギ,敵全体,5,80,0,,5,与えるダメージアップ,2
207,2,マハラギオン,敵全体,6,100,0,,5,与えるダメージアップ,6
208,2,マハラギダイン,敵全体,7,120,0,,5,与えるダメージアップ,9
209,2,ファイアブレス,敵ランダム,4,40,0,2-4回攻撃,5,与えるダメージアップ,7
210,2,地獄の業火,敵ランダム,5,50,0,2-4回攻撃,5,与えるダメージアップ,10
401,3,ブフ,敵単体,4,120,0,,6,与えるダメージアップ,1
402,3,ブフーラ,敵単体,5,140,0,,6,与えるダメージアップ,6
403,3,ブフダイン,敵単体,6,160,0,,6,与えるダメージアップ,9
404,3,アイスエイジ,敵単体,7,180,0,,6,与えるダメージアップ,12
405,3,マハブフ,敵全体,5,80,0,,5,与えるダメージアップ,2
406,3,マハブフーラ,敵全体,6,100,0,,5,与えるダメージアップ,6
407,3,マハブフダイン,敵全体,7,120,0,,5,与えるダメージアップ,9
408,3,アイスブレス,敵ランダム,4,40,0,2-4回攻撃,5,与えるダメージアップ,7
409,3,絶対零度,敵ランダム,5,50,0,2-4回攻撃,5,与えるダメージアップ,10
601,4,ジオ,敵単体,4,120,0,,6,与えるダメージアップ,1
602,4,ジオンガ,敵単体,5,140,0,,6,与えるダメージアップ,6
603,4,ジオダイン,敵単体,6,160,0,,6,与えるダメージアップ,9
