No,devilbase,deviladd,devilafter
1,大天使,女神,魔神
2,大天使,霊鳥,女神
3,大天使,魔神,堕天使
4,大天使,神獣,霊鳥
5,大天使,聖獣,女神
6,大天使,幻魔,妖獣
7,大天使,破壊神,魔王
8,大天使,地母神,魔神
9,大天使,鬼神,破壊神
10,大天使,天使,女神
11,大天使,妖魔,妖鬼
12,大天使,龍王,魔獣
13,大天使,魔獣,魔神
14,大天使,妖精,聖獣
15,大天使,堕天使,地母神
16,大天使,妖鬼,妖獣
17,大天使,鬼女,女神
18,大天使,夜魔,堕天使
19,大天使,邪神,幽鬼
20,大天使,妖獣,幽鬼
21,大天使,外道,天使
22,大天使,魔王,妖獣
23,大天使,幽鬼,堕天使
24,女神,霊鳥,魔神
25,女神,魔神,幻魔
26,女神,神獣,大天使
27,女神,聖獣,大天使
28,女神,幻魔,天使
29,女神,破壊神,魔神
30,女神,地母神,破壊神
31,女神,鬼神,地母神
32,女神,天使,大天使
33,女神,妖魔,霊鳥
34,女神,龍王,妖精
35,女神,魔獣,幽鬼
36,女神,妖精,幽鬼
37,女神,堕天使,鬼女
38,女神,妖鬼,鬼女
39,女神,鬼女,妖精
40,女神,夜魔,堕天使
41,女神,邪神,破壊神
42,女神,妖獣,聖獣
43,女神,外道,堕天使
44,女神,魔王,幽鬼
45,女神,幽鬼,破壊神
46,霊鳥,魔神,女神
47,霊鳥,神獣,聖獣
48,霊鳥,聖獣,地母神
49,霊鳥,幻魔,女神
50,霊鳥,破壊神,鬼神
51,霊鳥,地母神,破壊神
52,霊鳥,鬼神,地母神
53,霊鳥,天使,龍王
54,霊鳥,妖魔,夜魔
55,霊鳥,龍王,鬼神
56,霊鳥,魔獣,鬼女
57,霊鳥,妖精,夜魔
58,霊鳥,堕天使,龍王
59,霊鳥,妖鬼,鬼神
60,霊鳥,鬼女,妖鬼
61,霊鳥,夜魔,鬼女
62,霊鳥,邪神,妖魔
63,霊鳥,妖獣,神獣
64,霊鳥,外道,妖獣
65,霊鳥,魔王,妖精
66,霊鳥,幽鬼,魔獣
67,魔神,神獣,大天使
68,魔神,聖獣,神獣
69,魔神,幻魔,魔王
70,魔神,破壊神,魔王
71,魔神,地母神,女神
72,魔神,鬼神,破壊神
73,魔神,天使,破壊神
74,魔神,妖魔,幻魔
75,魔神,龍王,破壊神
76,魔神,魔獣,神獣
77,魔神,妖精,夜魔
78,魔神,堕天使,破壊神
79,魔神,妖鬼,鬼神
80,魔神,鬼女,地母神
81,魔神,夜魔,妖獣
82,魔神,邪神,神獣
83,魔神,妖獣,夜魔
84,魔神,外道,鬼神
85,魔神,魔王,破壊神
86,魔神,幽鬼,幻魔
87,神獣,聖獣,女神
88,神獣,幻魔,鬼神
89,神獣,破壊神,聖獣
90,神獣,地母神,幻魔
91,神獣,鬼神,聖獣
92,神獣,天使,霊鳥
93,神獣,妖魔,妖精
94,神獣,龍王,魔獣
