No,Grade,Reality,TribeID,TribeName,Name,AI,HP,Power,Magic,Physical,Speed,Luck,PhysicsRegist,FireRegist,IceRegist,ShockRegist,ImpactRegist,HamaRegist,CurseRegist,Skill1,Skill2,Skill3,Skill4,Skill4Rough,Skill4Protection,Skill4Unusual,Skill4Defense,Skill5Rough,Skill5Protection,Skill5Unusual,Skill5Defense
1,43,3,1,大天使,ライラ,0,68,12,22,13,12,17,1,1,1,0,2,3,0,メディラ,破魔ブースタ,マハンマオン,マカジャマオン,ハマダイン,リカーム,勝利の息吹,電撃耐性,ザン,マハザン,ヒートウェイブ,ブフ
2,61,4,1,大天使,サンダルフォン,0,96,18,20,19,19,14,2,1,1,2,1,5,3,ハマダイン,ザンダイン,スクカオート,アムリタ,マハンマオン,サマリカーム,野獣の勘,衝撃耐性,ムドオン,反撃,ラクンダ,メガトンプレス
3,67,4,1,大天使,アズラエル,2,106,10,24,21,16,19,2,2,0,1,1,5,2,テトラカーン,イービルアイ,アギダイン,マカラカーン,ムドダイン,祟り,マカラカシフト,呪殺無効,甘噛み,デクンダ,野獣の勘,審判の光
4,90,5,1,大天使,ミカエル,0,96,25,25,19,22,15,1,1,3,3,1,5,0,勝利の息吹,天罰,メギドラオン,食いしばり,裁きの雷火,メディアラハン,地獄のマスク,呪殺反射,ティタノマキア,火炎耐性,ジオダイン,刹那五月雨撃ち
5,99,5,1,大天使,メタトロン,0,110,24,26,22,18,17,1,2,2,2,2,3,1,天罰,無限のチャクラ,シナイの神火,不屈の闘志,マハンマダイン,メシアライザー,二分の魔脈,電撃反射,吸魔,マハポイズマ,マハジオダイン,マハラギダイン
6,27,2,2,女神,ハトホル,1,87,11,13,17,16,11,0,1,2,1,2,2,1,アムリタ,ザン,ジオンガ,メポズムディ,マハジオ,メチャームディ,一分の魔脈,衝撃無効,,,,
7,44,3,2,女神,アリアンロッド,0,54,20,16,10,18,10,2,1,1,1,1,2,1,ハマオン,メディア,怪力乱神,ディアラ,刹那五月雨撃ち,リディアコワース,千発千中,氷結無効,マハジオ,チャームディ,初段の恵体,クロズディ
8,50,3,2,女神,スカアハ,0,73,21,12,14,16,17,1,1,1,0,3,2,1,ザンマ,冥界破,ウィンドブレス,二分の活泉,狂乱の剛爪,ディアラマ,地獄のマスク,電撃耐性,ブフ,反撃,自然治癒,暴れまくり
9,62,4,2,女神,パラスアテナ,0,73,23,10,14,20,22,2,1,1,1,2,3,0,衝撃耐性,刹那五月雨撃ち,天罰,マカラカーン,モータルジハード,ディアラハン,勝利のチャクラ,火炎無効,五月雨斬り,静寂の祈り,毒針,ツイスター
10,69,4,2,女神,サラスヴァティ,2,106,10,24,21,16,19,1,0,3,1,1,1,0,マハブフーラ,バリア,静寂の祈り,ブフダイン,絶対零度,メディラマ,追い打ち,氷結反射,メチャームディ,呪い耐性,ミナゴロシの愉悦,イービルアイ
11,82,5,2,女神,イシュタル,1,96,16,32,19,13,22,1,1,1,3,0,3,0,マハンマオン,ディアラハン,ジャッジメント,サマリカーム,裁きの雷火,コンセントレイト,テトラカシフト,衝撃無効,ゴッドハンド,毒床渡り,デクンダ,アギラオ
12,85,5,2,女神,ラクシュミ,2,82,13,32,16,20,22,1,1,1,1,0,2,3,ディアラハン,ツイスター,セクシーダンス,二分の魔脈,殺風激,マカラカーン,狂い咲き,衝撃無効,甘噛み,ジオダイン,虚弱無効,毒針
13,49,3,3,魔神,ホルス,1,73,11,17,14,23,10,2,1,1,1,1,5,0,ディアラマ,デクンダ,マハンマ,二分の魔脈,ハマダイン,アムリタ,破魔ブースタ,電撃無効,カースディ,パララディ,マハラギ,カースディ
14,55,3,3,魔神,ミトラ,2,92,18,17,18,14,13,5,1,0,1,1,2,2,マハジュ,バリアコワース,イービルアイ,メギド,マハンマオン,フォッグブレス,狂い咲き,衝撃耐性,メディア,ディア,マハジオ,初段の恵体
15,67,4,3,魔神,プロメテウス,0,73,20,27,14,10,17,1,3,0,1,1,2,1,火炎ブースタ,マカラカシフト,アギダイン,三段の恵体,マハラギダイン,リカームドラ,無限のチャクラ,火炎吸収,電撃耐性,マハザンマ,乱れ狂い,毒耐性
